document_code,document_id,document_url,issue_date,abstract,num_attachments,attachment_1_url,attachment_2_url,attachment_3_url,attachment_4_url,attachment_5_url
36/2025/TT-BKHCN,216096,https://chinhphu.vn/?pageid=27160&docid=216096&classid=1,26/11/2025,"Quy định khung về trình tự, thủ tục xây dựng, thẩm định, ban hành, quản lý, tổ chức thực hiện chương trình khoa học, công nghệ và đổi mới sáng tạo và quy định về tình tự, thủ tục xét tài trợ, đặt hàng, ký hợp đồng, tổ chức thực hiện, chấm dứt thực hiện, thanh lý hợp đồng giao nhiệm vụ và đánh giá đối với nhiệm vụ khoa học, công nghệ và đổi mới sáng tạo",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/36-bkhcn.pdf,,,,
08/2025/NQ-CP,216002,https://chinhphu.vn/?pageid=27160&docid=216002&classid=1,26/11/2025,Về việc cho phép người Việt Nam đủ điều kiện vào chơi casino tại một số dự án kinh doanh casino,1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/11/08-cp.signed.pdf,,,,
306/2025/NĐ-CP,215991,https://chinhphu.vn/?pageid=27160&docid=215991&classid=1,25/11/2025,"Sửa đổi, bổ sung một số điều của Nghị định số 156/2020/NĐ-CP ngày 31 tháng 12 năm 2020 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán (được sửa đổi, bổ sung một số điều theo Nghị định số 128/2021/NĐ-CP ngày 30 tháng 12 năm 2021 của Chính phủ) và Nghị định số 158/2020/NĐ-CP ngày 31 tháng 12 năm 2020 của Chính phủ về chứng khoán phái sinh và thị trường chứng khoán phái sinh",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/11/306-cp.signed.pdf,,,,
305/2025/NĐ-CP,215994,https://chinhphu.vn/?pageid=27160&docid=215994&classid=1,25/11/2025,Về viện trợ của Việt Nam cho nước ngoài,1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/11/305-ndcp.signed.pdf,,,,
304/2025/NĐ-CP,215992,https://chinhphu.vn/?pageid=27160&docid=215992&classid=1,25/11/2025,Quy định điều kiện tài sản bảo đảm của khoản nợ xấu được thu giữ,1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/11/304-cp.signed.pdf,,,,
130/2025/TT-BQP,216042,https://chinhphu.vn/?pageid=27160&docid=216042&classid=1,25/11/2025,"Sửa đổi, bổ sung một số điều của Thông tư số 67/2024/TT-BQP ngày 14 tháng 10 năm 2024 của Bộ trưởng Bộ Quốc phòng quy định trình tự, thủ tục chứng nhận chất lượng an toàn kỹ thuật và bảo vệ môi trường xe cơ giới nhập khẩu, sản xuất, lắp ráp thuộc phạm vi quản lý của Bộ Quốc phòng",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/11/130-bqp.signed.pdf,,,,
45/2025/TT-BYT,216040,https://chinhphu.vn/?pageid=27160&docid=216040&classid=1,25/11/2025,"Bãi bỏ Thông tư số 31/2015/TT-BYT ngày 14 tháng 10 năm 2015 của Bộ trưởng Bộ Y tế quy định việc áp dụng chế độ bồi dưỡng, thời gian và số người thực hiện giám định đối với từng loại việc giám định pháp y, pháp y tâm thần",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/11/45-byt.pdf,,,,
39/2025/TT-BXD,216039,https://chinhphu.vn/?pageid=27160&docid=216039&classid=1,25/11/2025,"Sửa đổi, bổ sung một số định mức ban hành tại Thông tư số 44/2021/TT-BGTVT ngày 31 tháng 12 năm 2021 của Bộ trưởng Bộ Giao thông vận tải ban hành định mức quản lý, bảo dưỡng thường xuyên đường bộ",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/11/39-bxd.pdf,,,,
111/2025/TT-BTC,216036,https://chinhphu.vn/?pageid=27160&docid=216036&classid=1,24/11/2025,"Bãi bỏ Thông tư số 73/2017/TT-BTC ngày 17 tháng 7 năm 2017 của Bộ trưởng Bộ Tài chính quy định quản lý và sử dụng nguồn ngân sách nhà nước bảo đảm, hỗ trợ chi phí khám sức khỏe và chi phí điều trị nghiện các chất dạng thuốc phiện bằng thuốc thay thế",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/11/111-btc.pdf,,,,
67/2025/TT-BNNMT,216028,https://chinhphu.vn/?pageid=27160&docid=216028&classid=1,24/11/2025,Ban hành Quy chuẩn kỹ thuật Quốc gia về thức ăn thủy sản và sản phẩm xử lý môi trường nuôi trồng thủy sản,5,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/11/67-bnnmt.pdf,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/11/67-bnnmt-1.pdf,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/11/67-bnnmt-2.pdf,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/11/67-bnnmt-3.pdf,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/11/67-bnnmt-4.pdf
54/2025/TT-BCT,216020,https://chinhphu.vn/?pageid=27160&docid=216020&classid=1,21/11/2025,"Sửa đổi, bổ sung một số điều của Thông tư số 09/2025/TT-BCT ngày 01 tháng 02 năm 2025 của Bộ trưởng Bộ Công Thương quy định hồ sơ, trình tự, thủ tục, phương pháp xác định, phê duyệt khung giá phát điện; quy định hồ sơ, trình tự, thủ tục xây dựng, phê duyệt khung giá nhập khẩu điện và Thông tư số 12/2025/TT-BCT ngày 01 tháng 02 năm 2025 của Bộ trưởng Bộ Công Thương quy định phương pháp xác định giá dịch vụ phát điện; nguyên tắc tính giá điện để thực hiện dự án điện lực; nội dung chính của hợp đồng mua bán điện",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/11/54-bct.pdf,,,,
37/2025/TT-BXD,216014,https://chinhphu.vn/?pageid=27160&docid=216014&classid=1,21/11/2025,"Quy định cơ chế, chính sách quản lý giá dịch vụ kiểm định, kiểm tra sản phẩm công nghiệp sử dụng trên tàu biển, phương tiện thủy nội địa",1,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/11/37-bxd.pdf,,,,
,,"https://chinhphu.vnjavascript:__doPostBack('ctrl_191017_163$grvDocument','Page$2')",,,0,,,,,
