STT,Số ký hiệu,Ngày ban hành,Tên văn bản,link
77.0,98/2008/NĐ-CP,03/09/2008,Về việc thành lập thành phố Sơn La thuộc tỉnh Sơn La,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=24588&Keyword=98/2008/NĐ-CP
78.0,72/2008/NĐ-CP,09/06/2008,Về việc thành lập thành phố Phủ Lý thuộc tỉnh Hà Nam,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=24578&Keyword=72/2008/NĐ-CP
79.0,46/2008/NĐ-CP,17/04/2008,"Về việc điều chỉnh địa giới hành chính xã, phường,thành lập xã, phường, thị trấn thuộc thành phố Pleiku và các huyện Chư Prông, Chư Sê, tỉnh Gia Lai",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=24615&Keyword=46/2008/NĐ-CP
80.0,45/2008/NĐ-CP,17/04/2008,"Về việc điều chỉnh địa giới hành chính các huyện: Hưng Nguyên, Nghi Lộc để mở rộng địa giới hành chính thành phố Vinh; thành lập phường Vinh Tân thuộc thành phố Vinh, tỉnh Nghệ An",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=24617&Keyword=45/2008/NĐ-CP
81.0,44/2008/NĐ-CP,09/04/2008,"Về sửa đổi, bổ sung một số điều của Nghị định số 198/2004/NĐ-CP ngày 03 tháng 12 năm 2004 của Chính phủ về thu tiền sử dụng đất",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=25421&Keyword=44/2008/NĐ-CP
82.0,39/2008/NĐ-CP,04/04/2008,"Về việc điều chỉnh địa giới hành chính xã, phường, thành lập thị trấn, phường thuộc huyện Mê Linh, huyện Lập Thạch, thị xã Phúc Yên, tỉnh Vĩnh Phúc",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=24622&Keyword=39/2008/NĐ-CP
83.0,183/2007/NĐ-CP,13/12/2007,"Về việc điều chỉnh địa giới hành chính xã, thành lập xã, thị trấn thuộc các huyện: Bảo Lạc, Thông Nông, Trùng Khánh, Phục Hòa, tỉnh Cao Bằng",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=34816&Keyword=183/2007/NĐ-CP
84.0,182/2007/NĐ-CP,13/12/2007,"Về việc điều chỉnh địa giới hành chính xã Lương Tâm, xã Vĩnh Viễn để thành lập xã Lương Nghĩa, xã Vĩnh Viễn A thuộc huyện Long Mỹ, tỉnh Hậu Giang",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=34815&Keyword=182/2007/NĐ-CP
85.0,181/2007/NĐ-CP,13/12/2007,"Về việc điều chỉnh địa giới hành chính huyện Đông Hưng, huyện Kiến Xương, huyện Vũ Thư để mở rộng thành phố Thái Bình; điều chỉnh địa giới hành chính phường, xã; thành lập phường thuộc thành phố Thái Bình, tỉnh Thái Bình",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=34220&Keyword=181/2007/NĐ-CP
86.0,164/2007/NĐ-CP,15/11/2007,"Về việc điều chỉnh địa giới hành chính huyện Nghĩa Đàn để thành lập thị xã Thái Hòa; thành lập các phường thuộc thị xã Thái Hoà, tỉnh Nghệ An",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=13136&Keyword=164/2007/NĐ-CP
87.0,162/2007/NĐ-CP,06/11/2007,"Về việc điều chỉnh địa giới hành chính xã, phường; thành lập xã, phường thuộc quận Bình Thuỷ, quận Ô Môn, huyện Thốt Nốt và huyện Vĩnh Thạnh, thành phố Cần Thơ",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=13149&Keyword=162/2007/NĐ-CP
88.0,155/2007/NĐ-CP,18/10/2007,"Về việc điều chỉnh địa giới hành chính xã; thành lập xã, thị trấn thuộc các huyện: Đắk R'lấp, Đắk Song, Đắk Glong và Krông Nô, tỉnh Đắk Nông",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=13038&Keyword=155/2007/NĐ-CP
89.0,145/2007/NĐ-CP,12/09/2007,"Về việc điều chỉnh địa giới hành chính huyện Kiến Thụy để thành lập quận Dương Kinh; thành lập quận Đồ Sơn; thành lập phường thuộc các quận Dương Kinh, Đồ Sơn, thành phố Hải Phòng",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=13397&Keyword=145/2007/NĐ-CP
90.0,125/2007/NĐ-CP,31/07/2007,"Về việc điều chỉnh địa giới hành chính huyện Bình Minh để thành lập huyện Bình Tân, tỉnh Vĩnh Long",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=13755&Keyword=125/2007/NĐ-CP
91.0,123/2007/NĐ-CP,27/07/2007,"Sửa đổi, bổ sung một số điều của Nghị định số 188/2004/NĐ-CP ngày 16 tháng 11 năm 2004 về phương pháp xác định giá đất và khung giá các loại đất",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=13743&Keyword=123/2007/NĐ-CP
92.0,84/2007/NĐ-CP,25/05/2007,"Quy định bổ sung về việc cấp Giấy chứng nhận quyền sử dụng đất, thu hồi đất, thực hiện quyền sử dụng đất, trình tự, thủ tục bồi thường, hỗ trợ, tái định cư khi Nhà nước thu hồi đất và giải quyết khiếu nại về đất đai",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=14188&Keyword=84/2007/NĐ-CP
93.0,34/2007/NĐ-CP,08/03/2007,"Về việc điều chỉnh địa giới hành chính các xã Thạnh Xuân, Tân Phú Thạnh để thành lập thị trấn Rạch Gòi, thị trấn Cái Tắc thuộc huyện Châu Thành A, tỉnh Hậu Giang",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=14356&Keyword=34/2007/NĐ-CP
94.0,33/2007/NĐ-CP,08/03/2007,"Về việc điều chỉnh địa giới hành chính xã, thị trấn; thành lập xã, phường, mở rộng thị trấn thuộc các huyện Đại Lộc, Bắc Trà My, Thăng Bình và thị xã Hội An, tỉnh Quảng Nam",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=14357&Keyword=33/2007/NĐ-CP
95.0,11/2007/NĐ-CP,16/01/2007,"Về việc điều chỉnh địa giới hành chính xã, phường; thành lập phường, thị trấn thuộc các quận Ninh Kiều, Ô Môn và các huyện Phong Điền, Vĩnh Thạnh, thành phố Cần Thơ",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=14723&Keyword=11/2007/NĐ-CP
